user,company,tags,count
Frank,google,Trie,1
Frank,google,Misc,6
Frank,google,HashTable,3
Frank,google,Heap,4
Frank,google,SlidingWindow,1
Frank,google,DynamicProgramming,6
Frank,google,UnionFind,1
Frank,google,Stack,5
Frank,google,DivideandConquer,2
Frank,google,Greedy,2
Frank,linkedin,Array,10
Frank,linkedin,Breadth-firstSearch,2
Frank,linkedin,Depth-firstSearch,1
Frank,linkedin,UnionFind,1
Frank,linkedin,Sort,1
Frank,linkedin,Tree,3
Frank,linkedin,DynamicProgramming,2
Frank,linkedin,Backtracking,1
Frank,linkedin,HashTable,1
Frank,linkedin,String,2
Frank,linkedin,BinarySearch,1
Frank,linkedin,Misc,1
Frank,linkedin,DivideandConquer,1
Frank,linkedin,Heap,1
Frank,linkedin,Stack,1
Frank,microsoft,Array,40
Frank,microsoft,Sort,2
Frank,microsoft,Tree,9
Frank,microsoft,Math,2
Frank,microsoft,String,6
Frank,microsoft,Depth-firstSearch,6
Frank,microsoft,BinarySearch,3
Frank,microsoft,HashTable,5
Frank,microsoft,TwoPointers,7
Frank,microsoft,Breadth-firstSearch,3
Frank,microsoft,Misc,3
Frank,microsoft,Backtracking,1
Frank,microsoft,LinkedList,4
Frank,microsoft,Design,1
Frank,microsoft,Trie,2
Frank,microsoft,Heap,5
Frank,microsoft,SlidingWindow,1
Frank,microsoft,DynamicProgramming,4
Frank,microsoft,UnionFind,1
Frank,microsoft,Stack,4
Frank,microsoft,DivideandConquer,2
Frank,microsoft,Greedy,2
Frank,uber,Array,17
Frank,uber,Sort,2
Frank,uber,Math,2
Frank,uber,String,2
Frank,uber,HashTable,4
Frank,uber,Heap,4
Frank,uber,Depth-firstSearch,3
Frank,uber,Tree,3
Frank,uber,LinkedList,3
Frank,uber,SlidingWindow,1
Frank,uber,Breadth-firstSearch,1
Frank,uber,UnionFind,1
Frank,uber,BinarySearch,1
Frank,uber,TwoPointers,3
Frank,uber,DynamicProgramming,2
Frank,uber,Misc,1
Frank,uber,DivideandConquer,1
Frank,uber,Stack,1
Frank,uber,Greedy,1
Frank,yahoo,DivideandConquer,1
Frank,yahoo,Heap,2
Frank,yahoo,LinkedList,3
Frank,yahoo,Math,1
Frank,yahoo,Array,5
Frank,yahoo,HashTable,2
Frank,yahoo,DynamicProgramming,1
Frank,yahoo,String,1
Frank,yahoo,Design,1
Frank,yahoo,Stack,1
Frank,yahoo,Misc,1
